,fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_ks,train_ks,test_kappa,train_kappa,test_roc_auc,train_roc_auc
0,0.014524459838867188,0.024197030067443847,0.7927536231884058,0.8083735909822867,0.8232883824042375,0.8424192364998039,0.6904301075268818,0.7003191545021712,0.6265735057246092,0.6180714544709007,0.5737560151105849,0.6054140400069816,0.8623618185248066,0.8784654333756711
1,0.166658616065979,0.02929689884185791,0.8101449275362318,0.9391304347826088,0.823220502204095,0.9675187412788269,0.7394623655913979,0.8932323549416626,0.6708880762700795,0.8993761521136838,0.6116382145037601,0.8758185445764802,0.8831120398183216,0.9901102727589771
2,0.011780858039855957,0.02233765125274658,0.7666666666666667,0.7856682769726248,0.8043013676507812,0.8264491838522513,0.6348387096774195,0.6561620363103646,0.5871167994427756,0.5741638833425198,0.5170714424764941,0.5570004824979291,0.8352897131165383,0.860812337674693
3,0.009829401969909668,0.1224806547164917,0.7681159420289856,1.0,0.831018981018981,1.0,0.6089247311827957,1.0,0.578797179051848,1.0,0.5176703294884435,1.0,0.8366473669699476,1.0
4,0.12717366218566895,0.017888975143432618,0.7971014492753623,0.8085346215780997,0.8545159570703049,0.857395953157105,0.6612903225806452,0.6836799560508554,0.6410535022419572,0.6169644762666102,0.5793981801503898,0.6043532140747279,0.8624501908203095,0.8768864668788792
5,0.010723161697387695,0.01772727966308594,0.7333333333333334,0.8228663446054749,0.7436114653037122,0.8471516503604803,0.6286021505376345,0.7364974101396956,0.4800226372382569,0.6419355084022929,0.45273301713106084,0.6366536594689723,0.7690868196131355,0.911599102073664
6,0.06775789260864258,0.029863429069519044,0.8014492753623189,0.8201288244766506,0.8817059187426108,0.8984048184298995,0.6510752688172043,0.671736514414273,0.6368799791040878,0.6424309005559347,0.5875900624412792,0.6264691935555866,0.866870837142484,0.8838100976487185
0,4.832956862449646,0.06607930660247803,0.9361933333333333,0.9361807407407408,0.5920304834834434,0.5916650767162692,0.14562400622483845,0.14583198360101018,0.47877898493605253,0.4737498800541064,0.21293381298036587,0.2131915715912327,0.8094545640492619,0.8096207528750176
1,28.911646723747253,0.43664016723632815,0.93588,0.9684548148148149,0.5649050530177497,0.9981181782910656,0.17833704475396167,0.5290467112021837,0.5632442074515838,0.9200152922051148,0.24684432405451168,0.6765566698482627,0.8555422672185647,0.9926134975951195
2,0.3580374240875244,0.04547750949859619,0.93244,0.9323792592592591,0.4908135297960682,0.49012936928273476,0.28964891751890043,0.28993507431363347,0.5011070436105756,0.4968542712206044,0.33107157489948935,0.3311074104229769,0.814648263175903,0.8147732253959086
3,0.5797221183776855,7.367184400558472,0.9252666666666667,0.9994148148148148,0.3787708480783393,0.9972318585055409,0.18402238394596648,0.9940044828798429,0.3262001199781742,0.9979895815780682,0.21327033694660286,0.9953019368874058,0.6698164903031506,0.9995186844828782
4,23.330851912498474,0.2842820167541504,0.9359933333333332,0.9360903703703704,0.5816495878489896,0.5845275313806527,0.15260008397959815,0.15313570451949826,0.5400589510895933,0.5350388395727309,0.21983649865010638,0.22063122341596147,0.8342221756699857,0.8336078061440599
5,0.5900969982147217,0.03741540908813477,0.9238600000000001,0.9541688888888888,0.376287870856959,0.782465225014888,0.21075346813849868,0.43539037329150176,0.3676841001756986,0.8901404980882974,0.23326454347926742,0.537323717565257,0.6940487690234767,0.9752860360233774
0,0.028948450088500978,0.032098245620727536,0.752,0.7857777777777778,0.6229592629592628,0.6842316457601012,0.47000000000000003,0.5311111111111111,0.4885714285714286,0.5149206349206349,0.36690008586351197,0.45510492560378407,0.7749047619047619,0.8299952968841857
1,0.3706813335418701,0.0377086877822876,0.758,1.0,0.6751974633553581,1.0,0.3833333333333334,1.0,0.47999999999999987,1.0,0.34159978786247275,1.0,0.7831904761904762,1.0
2,0.019075870513916016,0.02989656925201416,0.749,0.7861111111111111,0.6081283959280064,0.6761249804739623,0.49666666666666676,0.5511111111111111,0.4780952380952382,0.5131746031746032,0.3708041623799743,0.4623358206101077,0.7717142857142858,0.8295778953556731
3,0.014910483360290527,0.03209688663482666,0.734,1.0,0.5992237664296488,1.0,0.36,1.0,0.4095238095238095,1.0,0.28665665651552746,1.0,0.7176428571428571,1.0
4,1.3173730850219727,0.026548433303833007,0.71,1.0,0.5226323588659516,1.0,0.5033333333333332,1.0,0.3995238095238095,1.0,0.30492847371120035,1.0,0.7219285714285715,1.0
5,0.01637859344482422,0.024382710456848145,0.7220000000000001,0.7563333333333334,0.560261575444642,0.6360060923439539,0.4,0.4488888888888889,0.40714285714285714,0.4306349206349206,0.2829276013980183,0.36661868526713637,0.7269523809523809,0.7822260435038213
6,0.41021416187286375,0.045110130310058595,0.7430000000000001,0.9923333333333334,0.5790705441511894,0.9928850188338896,0.53,0.9814814814814815,0.4228571428571429,0.9894708994708996,0.3725783325425848,0.9816805131278963,0.7452380952380951,0.9997683715461493
0,0.4649909257888794,0.0423187255859375,0.8195666666666668,0.819962962962963,0.699777637333545,0.701766613334252,0.32278457722291887,0.32362196360514484,0.393958403511801,0.38913838675585305,0.3511083221100432,0.3525688815409721,0.7525369867720265,0.754085461864789
1,4.845929408073426,0.15093588829040527,0.8188666666666666,0.9687925925925926,0.6719597996344374,0.9933105260820799,0.3541257791346381,0.8647444590184744,0.4024398880853629,0.9749723269655061,0.36712760425786267,0.9050185909223417,0.7647059160545953,0.9989450563516635
